linkID,FREEFL01,FREEFL02,FREEFL03,FREEFL04,FREEFL05,FREEFL06,FREEFL07,FREEFL08,FREEFL09,FREEFL10,FREEFL11,FREEFL12,FREEFL13,FREEFL14,FREEFL15,FREEFL16,FREEFL17,FREEFL18,FREEFL19,FREEFL20,FREEFL21,FREEFL22,FREEFL23,FREEFL24,FREEFL25,FREEFL26,FREEFL27,FREEFL28,FREEFL29,FREEFL30,FREEFL31,FREEFL32,FREEFL33,FREEFL34,FREEFL35,FREEFL36,FREEFL37,FREEFL38,FREEFL39,FREEFL40,FREEFL41,FREEFL42,FREEFL43,FREEFL44,FREEFL45,FREEFL46,FREEFL47,FREEFL48,FREEFL49,FREEFL50,FREEFL51,FREEFL52,FREEFL53,FREEFL54,FREEFL55,FREEFL56,FREEFL57,FREEFL58,FREEFL59,FREEFL60,FREEFL61,FREEFL62,FREEFL63,FREEFL64,FREEFL65,FREEFL66,FREEFL67,FREEFL68,FREEFL69,FREEFL70,FREEFL71,FREEFL72,FREEFL73,FREEFL74,FREEFL75,FREEFL76,FREEFL77,FREEFL78,FREEFL79,FREEFL80,FREEFL81,FREEFL82,FREEFL83,FREEFL84,FREEFL85,FREEFL86,FREEFL87,FREEFL88,FREEFL89,FREEFL90,FREEFL91,FREEFL92,FREEFL93,FREEFL94,FREEFL95,FREEFL96,FREEFL97,FREEFL98,FREEFL99,FREEFL100,FREEFL101,FREEFL102,FREEFL103,FREEFL104,FREEFL105,FREEFL106,FREEFL107,FREEFL108,FREEFL109,FREEFL110,FREEFL111,FREEFL112,FREEFL113,FREEFL114,FREEFL115,FREEFL116,FREEFL117,FREEFL118,FREEFL119,FREEFL120,FREEFL121,FREEFL122,FREEFL123,FREEFL124,FREEFL125,FREEFL126,FREEFL127
100000,48.6,47.83,46.5,47.75,50,50,50,50,50,50,50,50.315,50.375,46.925,47.915,46.8,47.315,47.85,48.475,47.885,48.895,48.99,44.53,48.035,47.045,49.02,48.98,49.5,49.395,50,50,50,50,50,49.975,50.325,49.98,44.655,44.635,48.27,47.64,47.715,46.815,47.78,46.19,47.835,47.88,47.585,47.315,48,47,45.5,50,50,50,50,50,50,50,51,50,46.5,48,48.5,48.5,48,48.5,47.5,47.975,49.41,49.5,50,49.5,47.88,49,49,50,50,50,50,50,50,50,53,52.08,49.59,51.03,49.99,45.89,47.49,46.795,45.68,46.17,47.05,45.92,47.77,48.205,49.1,47.285,46.56,50,50,50,50,50,50,50,52.98,51.995,49.69,50.325,50.17,50.945,49.925,51.69,51.785,48.08,47.73,46.755,49.28,48.46,48.49,47.99,47.5,49.54,50,50
100001,49.96,50,48,49,53,53,53,53,53,53,53,52.31,54,52,50.36,52,54,51.86,50.75,49.27,50,50.61,50.62,54,51.19,50,51,53,53,53,53,53,53,53,53,57,53.1,47.49,49.53,50.55,49.69,49.31,50.85,49.81,50.69,50.14,51,51.6,51.1,50,47,51,53,53,53,53,53,53,53,55,56,52,51,52,51,51,53,51,51.64,53.21,52,53,51.89,26.06,48,53,53,53,53,53,53,53,53,54,50.65,52.17,51.54,49.42,51.7,51.76,51.86,47.75,38.18,49.73,50.35,51.41,49.37,49,49,49,53,53,53,53,53,53,53,49.54,47,50.66,54,54,54.16,56,52.03,51.76,50.27,50,50.34,52,50,49.03,49,48,53,53,53
100002,24.395,26.475,26.97,29.975,28.5,29.23,28.55,28.5,28.5,28.5,29.01,29.36,21.5,26.785,23.725,26.27,24.79,28.23,24.895,22.06,23.27,25.035,24.525,21.93,25.315,24.43,30.355,29.33,28.985,28.605,28.5,28.5,28.5,26.75,28.76,27.11,22.445,28.35,26.525,24.315,27.875,25.695,23.575,21.38,24.31,25.15,23.72,26.565,22.685,26.805,28.5,28.5,28.5,28.535,28.51,28.43,28.365,28.5,28.5,27.26,26.49,27,24.885,27.95,26.065,26.235,27.5,29,25.5,22.5,25.445,23.34,24.5,28,30.375,29.67,26.895,28.5,26.92,28.5,28.5,28.5,28.575,28.905,31.01,29.17,28.78,27.97,26.635,24.315,26.3,22.495,24.66,27.34,24.365,27.045,24.645,24.255,23.455,29.085,28.335,28.97,28.5,28.5,28.5,28.5,28.695,28.3,31.255,31,27.635,26.825,26.005,23.545,27.145,25.565,28.665,23.425,18.11,26.165,23.54,27.885,29.655,31.23,28.69,28.735,26.945
100003,20.525,21.585,24.475,26.575,26.51,23.765,25.55,25.26,25.995,24.695,27.05,28.4,24.635,22.32,20.305,25.525,23.865,21.115,24.64,25.325,25.96,20.255,27.175,23.13,24.265,26.28,28.745,26.09,23.83,25.925,25.18,25.7,28.41,27.335,25.81,27.5,23.42,21.18,21.59,26.395,26.985,25.22,27.06,27.61,25.865,24.995,23.69,27.975,22.835,25.39,24.5,27.36,26.5,26.745,26.59,26.54,25.855,26.5,27.025,23.345,23.29,23.805,22.275,23.215,25.5,26.24,26.275,26.89,23.845,23.995,25.35,26.5,26.5,27,27,27.525,26.5,26.5,26.5,26.5,27.16,26.5,25.305,24.45,24.975,25.355,25.965,27.29,23.025,24.415,24.56,26.505,27.69,28.925,24.65,26.76,26.97,25.805,24.56,22.62,24.195,26.53,26.34,26.275,26.5,26.69,26.5,25.33,23.995,26.76,27.795,26.675,22.345,27.25,26.92,28.15,30.18,26.695,20.545,25.36,26.64,29.985,27.97,32.36,26.75,28.145,26.105
100004,32.53,31.62,35.88,34,36.6,31.63,35.99,36.24,37.1,36.71,36.09,39.05,37.92,37.75,35.26,36.56,37.35,33.14,36.97,36.79,37.51,33.02,23.94,34.73,33.42,35.1,37,35.32,37,36.44,35.14,34.21,36.54,36.93,36.95,40.44,38.49,34.72,36.98,38.1,32.5,34.08,33.9,39.51,40.1,35.28,36.11,34.09,32.66,36.29,35.86,34.31,37,37,37,36.52,36.15,37,36.71,40.86,37.66,37,36.31,35.41,36,35.75,36,36,35.68,35,36,35,36,38,37,36,37,36.34,37,37,37,37,37,35.2,38.43,39.46,39,40.62,39.29,38.15,40.15,38.05,39.08,34,34.75,35.52,38.97,35.64,33.89,38.79,36.98,37.37,36.06,35.94,36.03,37.16,37.05,35.31,39.45,36.99,38.29,39.3,34.35,40,39.47,39.66,39,36.27,37.86,39.13,34.63,34.23,34.43,39,37,37,36.79
100005,13.52,14.32,16.5,17,17,17,17,17,17,17,17,19.5,21.5,17,14,14.435,15.62,13,15.92,19.2,17.195,14.89,11.725,10.37,15,14.64,10.665,15.98,17,17,17,17,17,17,17,16.5,22,19.5,14,13.285,16,10.05,17.61,14.77,20.69,14.445,15.5,14.5,16.5,12.84,12.5,16.5,17,17,17,17,17,17,17,20,21.5,18,14,12.5,15,12,16,18.5,23,20,17.5,14.5,14,11,11.565,16.5,17,17,17,2,2,2,17,16.5,18,17,18.5,13.185,14.88,16,11,11.335,19.63,19.5,13.94,15,18.5,16.83,19,15,17,17,17,17,17,17,17,17,18,16,18,20,16.5,17.5,12,12,16.5,19,20,13.725,14.5,14,16.5,24.5,14.345,14.7,17
100006,38.27,33.575,32.875,38.605,39.58,39.85,38.725,39.62,39.5,39.965,39.735,37.695,40.965,37.84,37.085,36.12,31.87,31.32,35.965,41.155,43.215,38.045,38.025,37.06,36.065,35.285,36.165,37.985,39.095,38.405,40.375,39.49,39.5,39.945,38.93,38.765,41.11,37.775,33.89,35.435,38.28,33.515,37.515,40.2,42.545,35.755,36.52,35.875,36.95,35.05,35.34,37.055,39.5,39.5,37.845,38.09,39.355,39.5,39.5,38.5,41.875,38.765,35.895,36.08,39.89,34.75,38.705,41.5,42.665,39,37.83,37.5,37.66,34.59,35,39.485,39.425,36.33,39.275,39.345,39.5,39.175,39.5,40.5,39.5,39.2,40.295,36.81,39.62,39.335,32.615,37.96,40.98,36.765,38.69,36.75,38.59,38.315,39.82,38.715,39.98,41.25,39.65,38.9,37.995,37.78,39.27,39.13,38.005,36.89,39.49,38.87,37.475,40.55,34.72,31.125,42.465,42.35,43.4,38.165,36.155,40.505,39.16,39.975,40.73,40.735,39.815
100007,43.845,44.495,44.195,44.91,46.14,47.28,45.725,47,47,47,47.42,46.845,46.005,46.88,46.915,44.195,44.62,43.935,45.855,45.42,46.895,44.225,43.345,43.875,41.265,44.005,45.44,44.5,46.76,47,47,47,47,47,47.23,50.27,49.045,48.145,45.83,46.05,47.055,38.675,36.06,37.785,42.3,38.795,39.25,40.83,41.95,43.53,45.55,44.83,46.945,47,47,47,47,47,48.395,51.5,47.5,47,46,45.9,43.985,43.48,45,47,46.5,46,46,46,43.5,42.4,43.21,45,47,47,47,47,47,47,46.775,48.065,49,48.5,48.78,47.38,47.58,47.255,44.93,42.97,41.305,34.88,46.9,46.83,45.18,45.925,46.9,45.18,47.49,44.84,46.855,47.62,47,47,47,48.5,50.03,46.565,48.815,46.23,44.055,47.09,44.995,47.195,46.575,47.5,47.155,45.795,47.87,46.99,46.615,45.56,47.675,47.33,46.825
100008,53.55,50.84,53.16,53.745,54.41,53.87,52.365,54.5,54.5,54.5,52.67,56.11,55.285,54.49,54.575,52.995,53.17,54.525,54.04,53.03,50.965,48.66,52.945,54.49,53.35,54.575,53.155,54.14,51.285,50.15,54.5,54.5,54.5,52.835,49.31,55.16,55.18,55.03,55.205,54.255,54.2,52.245,52.21,51.215,53.285,52.71,53.175,53.305,47.67,51.93,53.66,53.98,54.5,54.58,54.17,54.5,54.5,54.5,54.81,56.5,55.04,54,54.5,52.61,54.645,53.805,53.395,53.5,53.5,53.5,55,54.5,52,47.75,53,54,51.805,54.43,54.5,54.3,54.49,54.5,54.5,58,56.87,55.26,56.5,54.885,53.79,50.9,47.855,53.125,54.535,53.325,54.55,54.105,53.27,53.83,52.02,53.405,54.695,54.76,54.99,54.5,54.49,47.6,53.155,56,56.46,54.075,53.765,56.2,54.475,51.36,54.84,54.18,53.96,54.78,52.67,53.46,52.55,53.965,53.5,54.145,52.2,53.915,54.5
100009,48.78,48,48,47,48,48,48,48,48,48,48,44,48,50,48,48,45.42,48,50,48,49,49,44.72,50,46.51,48,45.14,47,48,48,48,48,48,48,48,44,47,47,44.72,48,45,48,49,48,48,48,49,50,49,48,48,47,48,48,48,48,48,48,48,44,47,47,47,48,48,48,49,47,48,49,48,50,51,49,48,47,48,48,48,48,48,48,48,48,48,48,47,46,49,53,50,46,46,46,46,46,42.25,48,48,48,48,45,48,48,48,48,48,48,48,48,47,46,49,52.64,40.67,45.37,43.94,43.71,43.53,42.77,44.77,48,46.01,46.6,48,48,48
