linkID,FREEFL01,FREEFL02,FREEFL03,FREEFL04,FREEFL05,FREEFL06,FREEFL07,FREEFL08,FREEFL09,FREEFL10,FREEFL11,FREEFL12,FREEFL13,FREEFL14,FREEFL15,FREEFL16,FREEFL17,FREEFL18,FREEFL19,FREEFL20,FREEFL21,FREEFL22,FREEFL23,FREEFL24,FREEFL25,FREEFL26,FREEFL27,FREEFL28,FREEFL29,FREEFL30,FREEFL31,FREEFL32,FREEFL33,FREEFL34,FREEFL35,FREEFL36,FREEFL37,FREEFL38,FREEFL39,FREEFL40,FREEFL41,FREEFL42,FREEFL43,FREEFL44,FREEFL45,FREEFL46,FREEFL47,FREEFL48,FREEFL49,FREEFL50,FREEFL51,FREEFL52,FREEFL53,FREEFL54,FREEFL55,FREEFL56,FREEFL57,FREEFL58,FREEFL59,FREEFL60,FREEFL61,FREEFL62,FREEFL63,FREEFL64,FREEFL65,FREEFL66,FREEFL67,FREEFL68,FREEFL69,FREEFL70,FREEFL71,FREEFL72,FREEFL73,FREEFL74,FREEFL75,FREEFL76,FREEFL77,FREEFL78
100000,48.6,47.83,46.5,47.75,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.315,50.375,46.925,47.915,46.8,47.315,47.85,48.475,47.88500000000001,48.895,48.99,44.53,48.035,47.045,49.02,48.98,49.5,49.395,50.0,50.0,50.0,50.0,50.0,49.975,50.325,49.98,44.655,44.635,48.27,47.64,47.715,46.815,47.78,46.19,47.835,47.88,47.585,47.315,48.0,47.0,45.5,50.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0,50.0,46.5,48.0,48.5,48.5,48.0,48.5,47.5,47.975,49.41,49.5,50.0,49.5,47.88,49.0,49.0,50.0,50.0
100001,49.96,50.0,48.0,49.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.31,54.0,52.0,50.36,52.0,54.0,51.86,50.75,49.27,50.0,50.61,50.62,54.0,51.19,50.0,51.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,57.0,53.1,47.49,49.53,50.55,49.69,49.31,50.85,49.81,50.69,50.14,51.0,51.6,51.1,50.0,47.0,51.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,55.0,56.0,52.0,51.0,52.0,51.0,51.0,53.0,51.0,51.64,53.21,52.0,53.0,51.89,26.06,48.0,53.0,53.0,53.0
100002,24.395,26.475,26.97,29.975,28.5,29.23,28.55,28.5,28.5,28.5,29.01,29.36,21.5,26.785,23.725,26.27,24.79,28.23,24.895,22.06,23.27,25.035,24.525,21.93,25.315,24.43,30.355,29.33,28.985,28.605,28.5,28.5,28.5,26.75,28.76,27.11,22.445,28.35,26.525,24.315,27.875,25.695,23.575,21.38,24.31,25.15,23.72,26.565,22.685,26.805,28.5,28.5,28.5,28.535,28.51,28.43,28.365,28.5,28.5,27.26,26.49,27.0,24.885,27.95,26.065,26.235,27.5,29.0,25.5,22.5,25.445,23.34,24.5,28.0,30.375,29.67,26.895,28.5
100003,20.525,21.585,24.475,26.575,26.51,23.765,25.55,25.26,25.995,24.695,27.05,28.4,24.635,22.32,20.305,25.525,23.865,21.115,24.64,25.325,25.96,20.255,27.175,23.13,24.265,26.28,28.745,26.09,23.83,25.925,25.18,25.7,28.41,27.335,25.81,27.5,23.42,21.18,21.59,26.395,26.985,25.22,27.06,27.61,25.865,24.995,23.69,27.975,22.835,25.39,24.5,27.36,26.5,26.745,26.59,26.54,25.855,26.5,27.025,23.345,23.29,23.805,22.275,23.215,25.5,26.24,26.275,26.89,23.845,23.995,25.35,26.5,26.5,27.0,27.0,27.525,26.5,26.5
100004,32.53,31.62,35.88,34.0,36.6,31.63,35.99,36.24,37.1,36.71,36.09,39.05,37.92,37.75,35.26,36.56,37.35,33.14,36.97,36.79,37.51,33.02,23.94,34.73,33.42,35.1,37.0,35.32,37.0,36.44,35.14,34.21,36.54,36.93,36.95,40.44,38.49,34.72,36.98,38.1,32.5,34.08,33.9,39.51,40.1,35.28,36.11,34.09,32.66,36.29,35.86,34.31,37.0,37.0,37.0,36.52,36.15,37.0,36.71,40.86,37.66,37.0,36.31,35.41,36.0,35.75,36.0,36.0,35.68,35.0,36.0,35.0,36.0,38.0,37.0,36.0,37.0,36.34
100005,13.52,14.32,16.5,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,19.5,21.5,17.0,14.0,14.435,15.62,13.0,15.92,19.2,17.195,14.89,11.725,10.37,15.0,14.64,10.665,15.98,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.5,22.0,19.5,14.0,13.285,16.0,10.05,17.61,14.77,20.69,14.445,15.5,14.5,16.5,12.84,12.5,16.5,17.0,17.0,17.0,17.0,17.0,17.0,17.0,20.0,21.5,18.0,14.0,12.5,15.0,12.0,16.0,18.5,23.0,20.0,17.5,14.5,14.0,11.0,11.565,16.5,17.0,17.0
100006,38.27,33.575,32.875,38.605,39.58,39.85,38.725,39.62000000000001,39.5,39.965,39.735,37.695,40.965,37.84,37.085,36.12000000000001,31.87,31.32,35.965,41.155,43.215,38.045,38.025,37.06,36.065,35.285,36.165,37.985,39.095,38.405,40.375,39.49,39.5,39.945,38.93,38.765,41.11,37.775,33.89,35.435,38.28,33.515,37.515,40.2,42.545,35.75499999999999,36.52,35.875,36.95,35.05,35.34,37.055,39.5,39.5,37.845,38.09,39.355,39.5,39.5,38.5,41.875,38.765,35.895,36.08,39.89,34.75,38.705,41.5,42.665,39.0,37.83,37.5,37.66,34.59,35.0,39.485,39.425,36.33
100007,43.845,44.495,44.195,44.91,46.14,47.28,45.725,47.0,47.0,47.0,47.42,46.845,46.005,46.88,46.915,44.195,44.62000000000001,43.935,45.855,45.42,46.895,44.225,43.345,43.875,41.265,44.005,45.44,44.5,46.76000000000001,47.0,47.0,47.0,47.0,47.0,47.23,50.27,49.045,48.145,45.83,46.05,47.055,38.675,36.06,37.785,42.3,38.795,39.25,40.83,41.95,43.53,45.55,44.83,46.945,47.0,47.0,47.0,47.0,47.0,48.395,51.5,47.5,47.0,46.0,45.90000000000001,43.985,43.48,45.0,47.0,46.5,46.0,46.0,46.0,43.5,42.4,43.21,45.0,47.0,47.0
100008,53.55,50.84,53.16,53.74500000000001,54.41,53.87,52.365,54.5,54.5,54.5,52.67,56.11,55.285,54.49,54.575,52.995,53.17,54.525,54.04,53.03,50.965,48.66,52.945,54.49,53.35,54.575,53.155,54.14,51.285,50.15,54.5,54.5,54.5,52.835,49.31,55.16,55.18,55.03,55.205,54.255,54.2,52.24500000000001,52.21,51.215,53.285,52.71,53.175,53.305,47.67,51.93,53.66,53.98,54.5,54.58,54.17,54.5,54.5,54.5,54.81,56.5,55.04,54.0,54.5,52.61,54.645,53.805,53.395,53.5,53.5,53.5,55.0,54.5,52.0,47.75,53.0,54.0,51.805,54.43
100009,48.78,48.0,48.0,47.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,44.0,48.0,50.0,48.0,48.0,45.42,48.0,50.0,48.0,49.0,49.0,44.72,50.0,46.51,48.0,45.14,47.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,44.0,47.0,47.0,44.72,48.0,45.0,48.0,49.0,48.0,48.0,48.0,49.0,50.0,49.0,48.0,48.0,47.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,44.0,47.0,47.0,47.0,48.0,48.0,48.0,49.0,47.0,48.0,49.0,48.0,50.0,51.0,49.0,48.0,47.0,48.0,48.0
100010,51.26000000000001,40.17,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,48.575,47.42,49.5,49.5,47.0,50.0,50.0,48.5,50.5,49.5,48.0,50.5,52.0,37.5,49.9,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.0,46.0,49.0,49.5,48.0,47.865,47.565,48.5,50.0,48.565,48.5,50.34,52.0,37.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.0,47.0,48.0,49.0,47.5,49.5,49.0,48.5,49.5,49.0,47.5,50.5,52.0,37.5,50.5,50.5,50.5,50.5
100011,53.5,55.0,54.0,53.5,56.0,56.0,56.0,56.0,56.0,56.0,56.0,54.205,51.66,54.0,55.56,54.25,55.405,54.54,53.93,51.5,52.685,55.565,55.04,56.97,55.5,55.0,53.685,54.065,56.0,56.0,56.0,56.0,56.0,56.0,56.0,54.5,52.0,53.36,55.54,54.0,54.0,51.96,52.77,50.825,52.99500000000001,55.275,54.785,55.0,53.5,55.5,54.5,53.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,54.5,53.0,55.5,56.5,54.0,54.615,54.5,53.0,51.0,52.0,56.0,58.5,56.5,55.5,58.0,56.0,54.0,56.0,56.0
100012,57.075,55.18,55.33,56.5,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.27,55.14,55.5,54.63,55.89,55.865,54.565,57.0,56.5,55.225,56.895,56.61,56.84,57.0,56.0,57.425,56.845,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.5,55.5,54.91,55.985,55.5,55.0,53.82,53.385,54.64,55.21,55.125,56.485,57.0,57.5,56.0,55.5,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,55.5,56.0,55.5,56.5,56.0,55.695,55.5,56.5,55.5,55.5,56.0,57.5,58.5,58.5,58.5,58.5,57.0,57.0,57.0
100013,49.235,52.0,52.0,55.62000000000001,53.45,53.5,53.425,53.5,53.5,53.5,54.19,51.535,54.455,52.57,50.85,47.725,48.73,50.755,50.755,47.265,48.5,47.025,49.805,52.05,53.23,53.0,52.92,54.84,52.83,53.5,53.5,53.5,43.045,53.875,55.17,55.0,55.46,53.305,53.86,48.615,49.5,50.54,51.895,50.765,47.89,48.8,49.01000000000001,51.89,51.4,50.5,52.21,54.0,53.5,53.5,53.0,53.5,53.5,53.5,53.5,54.8,54.89,53.99500000000001,53.735,48.0,49.18,51.5,49.49,50.44,48.0,47.5,51.27,52.72,52.0,52.175,52.29,54.0,53.5,53.5
100014,51.005,50.5,49.0,51.295,52.05,52.0,51.975,52.0,52.0,52.0,50.71,52.935,49.975,48.08,44.62000000000001,50.86,49.85,52.290000000000006,51.78,49.665000000000006,50.39,45.52500000000001,51.32,50.935,52.475,52.345,51.425,52.355,51.325,52.0,52.0,52.0,51.86,52.465,54.85,52.595,52.49500000000001,48.42,48.21,51.15,51.0,48.625,46.955,51.27,49.1,51.73,48.46,51.015,50.27500000000001,51.0,51.435,51.5,52.0,52.0,51.4,52.0,52.0,52.0,52.0,52.65000000000001,51.57,50.845,51.7,50.5,51.415,50.0,49.695,51.19,50.0,50.5,54.45,52.0,51.5,51.37,51.63500000000001,49.5,52.0,52.0
