ID,FID,Departure
163469,267,2169
163469,-9,1
163515,138,2169
163515,-22,1
164084,586,2175
164084,-42,1
167619,628,2215
167619,-47,1
168033,186,2219
168033,-15,1
171930,458,2261
171930,-16,1
171942,458,2261
171942,-16,1
174171,299,2285
174171,-23,1
174619,351,2290
174619,-11,1
177250,556,2319
177250,-32,1
190181,147,2462
190181,-51,1
193694,56,2501
193694,-25,1
193755,557,2501
193755,-56,1
194130,657,2505
194130,-43,1
196364,110,2543
196364,-5,1
196742,579,2554
196742,-43,1
196743,579,2554
196743,-43,1
198382,417,2604
198382,-8,1
198875,656,2618
198875,-32,1
199482,212,2636
199482,-14,1
199483,212,2636
199483,-14,1
199847,714,2647
199847,-42,1
199848,714,2647
199848,-42,1
200565,260,2668
200565,-42,1
200569,260,2668
200569,-42,1
201503,531,2697
201503,-38,1
201512,531,2697
201512,-38,1
201862,415,2707
201862,-41,1
202308,495,2719
202308,-30,1
202696,526,2732
202696,-43,1
202769,658,2734
202769,-37,1
204253,157,2778
204253,-20,1
204347,56,2780
204347,-5,1
204632,59,2788
204632,-20,1
205133,297,2804
205133,-8,1
207395,387,2873
207395,-41,1
207850,525,2881
207850,-8,1
207902,525,2881
207902,-8,1
208043,281,2882
208043,-43,1
208059,281,2882
208059,-43,1
208415,516,2883
208415,-41,1
208416,516,2883
208416,-41,1
208665,229,2884
208665,-5,1
208670,229,2884
208670,-5,1
209367,286,2886
209367,-2,1
209397,561,2886
209397,-10,1
209400,561,2886
209400,-10,1
209441,79,2886
209441,-7,1
209470,79,2886
209470,-7,1
209736,375,2887
209736,-2,1
209769,389,2887
209769,-25,1
209773,389,2887
209773,-25,1
209808,525,2887
209808,-41,1
209812,443,2887
209812,-40,1
209816,443,2887
209816,-40,1
209834,525,2887
209834,-41,1
210065,652,2888
210065,-51,1
210095,652,2888
210095,-51,1
210166,203,2888
210166,-48,1
210186,203,2888
210186,-48,1
210400,131,2889
210400,-5,1
210402,376,2889
210402,-9,1
210548,630,2889
210548,-48,1
210553,630,2889
210553,-48,1
210554,630,2889
210554,-48,1
210823,498,2890
210823,-33,1
210874,255,2890
210874,-41,1
210875,255,2890
210875,-41,1
210935,535,2890
210935,-41,1
211035,535,2890
211035,-41,1
211489,115,2892
211489,-30,1
211626,276,2892
211626,-7,1
211647,276,2892
211647,-7,1
211770,415,2893
211770,-42,1
211982,432,2893
211982,-41,1
212259,244,2894
212259,-3,1
212260,244,2894
212260,-3,1
212704,425,2895
212704,-9,1
212912,701,2896
212912,-7,1
213107,548,2896
213107,-42,1
213110,548,2896
213110,-42,1
213298,436,2897
213298,-11,1
213311,436,2897
213311,-11,1
213477,141,2897
213477,-7,1
213511,141,2897
