UID,location,Duration
100000001,1,602
100000001,19,-1
100000002,1,471
100000002,15,-1
100000003,1,3724
100000003,12,-1
100000004,1,1036
100000004,18,-1
100000005,1,3553
100000005,16,-1
100000006,1,3620
100000006,19,-1
100000007,1,2633
100000007,20,-1
100000008,1,1984
100000008,19,-1
100000009,1,2999
100000009,20,-1
100000010,1,4300
100000010,20,-1
100000011,1,5312
100000011,20,-1
100000012,1,2353
100000012,20,-1
100000013,1,2976
100000013,17,-1
100000014,1,2002
100000014,17,-1
100000015,1,5266
100000015,18,-1
100000016,1,4480
100000016,17,-1
100000017,1,1644
100000017,19,-1
100000018,1,4888
100000018,18,-1
100000019,1,112
100000019,19,-1
100000020,1,2248
100000020,17,-1
100000021,1,3749
100000021,19,-1
100000022,1,4833
100000022,19,-1
100000023,1,1916
100000023,17,-1
100000024,1,5628
100000024,19,-1
100000025,1,1825
100000025,14,-1
100000026,1,4545
100000026,16,-1
100000027,1,855
100000027,18,-1
100000028,1,1194
100000028,20,-1
100000029,1,3151
100000029,20,-1
100000030,1,1099
100000030,19,-1
100000031,1,2283
100000031,17,-1
100000032,1,1154
100000032,18,-1
100000033,1,3154
100000033,18,-1
100000034,1,2685
100000034,20,-1
100000035,1,1983
100000035,16,-1
100000036,1,271
100000036,20,-1
100000037,1,5869
100000037,15,-1
100000038,1,1598
100000038,19,-1
100000039,1,5500
100000039,17,-1
100000040,1,109
100000040,14,-1
100000041,1,3904
100000041,18,-1
100000042,1,153
100000042,20,-1
100000043,1,1661
100000043,16,-1
100000044,1,133
100000044,18,-1
100000045,1,903
100000045,19,-1
100000046,1,2321
100000046,20,-1
100000047,1,367
100000047,14,-1
100000048,1,2296
100000048,18,-1
100000049,1,3734
100000049,17,-1
100000050,1,48
100000050,20,-1
100000051,1,3773
100000051,19,-1
100000052,1,59
100000052,12,-1
100000053,1,5404
100000053,18,-1
100000054,1,3424
100000054,18,-1
100000055,1,4812
100000055,15,-1
100000056,1,2431
100000056,20,-1
100000057,1,2819
100000057,18,-1
100000058,1,5649
100000058,16,-1
100000059,1,3512
100000059,19,-1
100000060,1,5040
100000060,19,-1
100000061,1,5709
100000061,19,-1
100000062,1,5980
100000062,20,-1
100000063,1,2523
100000063,16,-1
100000064,1,2395
100000064,20,-1
100000065,1,258
100000065,17,-1
100000066,1,1806
100000066,19,-1
100000067,1,2863
100000067,19,-1
100000068,1,1870
100000068,15,-1
100000069,1,542
100000069,16,-1
100000070,1,2035
100000070,18,-1
100000071,1,5429
100000071,17,-1
100000072,1,1138
100000072,19,-1
100000073,1,3682
100000073,12,-1
100000074,1,3238
100000074,15,-1
100000075,1,4966
100000075,18,-1
100000076,1,5158
100000076,20,-1
100000077,1,4146
100000077,16,-1
100000078,1,3624
100000078,20,-1
100000079,1,1918
100000079,20,-1
100000080,1,813
100000080,12,-1
100000081,1,1010
100000081,14,-1
100000082,1,551
100000082,13,-1
100000083,1,4782
100000083,17,-1
100000084,1,525
100000084,12,-1
100000085,1,2847
100000085,20,-1
100000086,1,4428
100000086,19,-1
100000087,1,2006
100000087,18,-1
100000088,1,4544
100000088,20,-1
100000089,1,297
100000089,15,-1
100000090,1,4681
100000090,18,-1
100000091,1,507
100000091,16,-1
100000092,1,878
100000092,18,-1
100000093,1,834
100000093,12,-1
100000094,1,1036
100000094,18,-1
100000095,1,1580
100000095,18,-1
100000096,1,3713
100000096,19,-1
100000097,1,5429
100000097,20,-1
100000098,1,5687
100000098,16,-1
100000099,1,1720
