UID,location,Duration
10000024,340,1.5
10000024,344,-1
10000037,340,1.5
10000037,373,-1
10000038,340,1.5
10000038,373,-1
10000039,340,1.5
10000039,373,-1
10000103,339,1.5
10000103,342,-1
10000227,339,1.5
10000227,340,-1
10000293,339,1.5
10000293,342,-1
10000335,367,1.5
10000335,497,-1
10000589,367,1.5
10000589,373,-1
10000618,367,1.5
10000618,53,-1
10000619,367,1.5
10000619,53,-1
10000659,367,1.5
10000659,372,-1
10000729,367,1.5
10000729,344,-1
10000975,367,1.5
10000975,373,-1
10001473,367,1.5
10001473,201,-1
10001474,367,1.5
10001474,201,-1
10001718,367,1.5
10001718,474,-1
10002093,367,1.5
10002093,341,-1
10002117,367,1.5
10002117,449,-1
10002325,367,1.5
10002325,340,-1
10002326,367,1.5
10002326,340,-1
10002350,367,1.5
10002350,340,-1
10002369,367,1.5
10002369,340,-1
10002394,367,1.5
10002394,87,-1
10002395,367,1.5
10002395,87,-1
10002443,367,1.5
10002443,58,-1
10002548,367,1.5
10002548,344,-1
10002549,367,1.5
10002549,344,-1
10002586,367,1.5
10002586,343,-1
10002587,367,1.5
10002587,343,-1
10002639,367,1.5
10002639,343,-1
10002640,367,1.5
10002640,343,-1
10002970,340,1.5
10002970,346,-1
10002971,340,1.5
10002971,346,-1
10003188,350,1.5
10003188,340,-1
10003303,422,1.5
10003303,287,-1
10003556,422,1.5
10003556,183,-1
10003756,422,1.5
10003756,558,-1
10004017,422,1.5
10004017,10,-1
10004018,422,1.5
10004018,10,-1
10004063,422,1.5
10004063,344,-1
10004088,422,1.5
10004088,344,-1
10004215,422,1.5
10004215,341,-1
10004216,422,1.5
10004216,341,-1
10004225,422,1.5
10004225,373,-1
10004469,422,1.5
10004469,344,-1
10004674,339,1.5
10004674,340,-1
10005170,339,1.5
10005170,344,-1
10005191,339,1.5
10005191,372,-1
10005192,339,1.5
10005192,372,-1
10005465,339,1.5
10005465,344,-1
10005466,339,1.5
10005466,344,-1
10005467,339,1.5
10005467,344,-1
10005468,339,1.5
10005468,344,-1
10005469,339,1.5
10005469,373,-1
10005470,339,1.5
10005470,373,-1
10005471,339,1.5
10005471,344,-1
10005472,339,1.5
10005472,344,-1
10005518,339,1.5
10005518,373,-1
10005591,339,1.5
10005591,344,-1
10005884,339,1.5
10005884,344,-1
10006173,339,1.5
10006173,341,-1
10006174,339,1.5
10006174,341,-1
10006250,339,1.5
10006250,343,-1
10006301,339,1.5
10006301,344,-1
10006302,339,1.5
10006302,344,-1
10006443,340,1.5
10006443,373,-1
10006533,340,1.5
10006533,372,-1
10006599,371,1.5
10006599,344,-1
10006708,340,1.5
10006708,341,-1
10006770,392,1.5
10006770,398,-1
10006821,392,1.5
10006821,344,-1
10006870,392,1.5
10006870,373,-1
10006928,392,1.5
10006928,188,-1
10006951,392,1.5
10006951,399,-1
10007001,392,1.5
10007001,341,-1
10007052,392,1.5
10007052,244,-1
10007106,392,1.5
10007106,341,-1
10007107,392,1.5
10007107,341,-1
10007267,392,1.5
10007267,344,-1
10007409,392,1.5
10007409,340,-1
10007506,392,1.5
10007506,344,-1
10008086,392,1.5
10008086,344,-1
10008090,392,1.5
10008090,343,-1
10008206,392,1.5
10008206,340,-1
10008544,406,1.5
10008544,373,-1
10008826,406,1.5
10008826,344,-1
10008827,406,1.5
10008827,344,-1
