"UID","location","Duration"
10068393,238,0
10068393,337,-1
10069360,252,0
10069360,513,-1
10073994,158,0
10073994,242,-1
10093043,289,0
10093043,287,-1
10072923,252,0
10072923,143,-1
10077605,328,0
10077605,143,-1
10080625,116,0
10080625,297,-1
10080626,116,0
10080626,297,-1
10101477,337,0
10101477,287,-1
10102927,143,0
10102927,183,-1
10083350,32,0
10083350,287,-1
10118917,262,0
10118917,158,-1
10135349,287,0
10135349,32,-1
10074995,314,0
10074995,337,-1
10091857,289,0
10091857,310,-1
10094233,289,0
10094233,287,-1
10067636,310,0
10067636,287,-1
10067637,310,0
10067637,287,-1
10071137,252,0
10071137,291,-1
10073152,252,0
10073152,287,-1
10078804,314,0
10078804,328,-1
10078805,314,0
10078805,328,-1
10088996,241,0
10088996,117,-1
10093317,289,0
10093317,287,-1
10093970,289,0
10093970,531,-1
10101556,337,0
10101556,143,-1
10104603,143,0
10104603,117,-1
10104604,143,0
10104604,117,-1
10104605,143,0
10104605,117,-1
10071362,252,0
10071362,68,-1
10093249,289,0
10093249,238,-1
10067478,238,0
10067478,287,-1
10068498,238,0
10068498,309,-1
10068499,238,0
10068499,309,-1
10068500,238,0
10068500,309,-1
10069541,252,0
10069541,483,-1
10069687,238,0
10069687,287,-1
10073217,252,0
10073217,328,-1
10073671,158,0
10073671,143,-1
10073672,158,0
10073672,143,-1
10073696,158,0
10073696,224,-1
10075715,297,0
10075715,105,-1
10081346,116,0
10081346,68,-1
10082426,32,0
10082426,449,-1
10082978,32,0
10082978,93,-1
10083719,32,0
10083719,105,-1
10088507,177,0
10088507,32,-1
10091929,289,0
10091929,287,-1
10092644,289,0
10092644,32,-1
10093664,289,0
10093664,353,-1
10102996,143,0
10102996,180,-1
10104286,143,0
10104286,310,-1
10104287,143,0
10104287,310,-1
10104288,143,0
10104288,287,-1
10105299,143,0
10105299,297,-1
10068390,238,0
10068390,178,-1
10101906,106,0
10101906,68,-1
10074986,178,0
10074986,68,-1
10081160,116,0
10081160,287,-1
10081161,116,0
10081161,287,-1
10083210,32,0
10083210,93,-1
10077618,328,0
10077618,337,-1
10077619,328,0
10077619,337,-1
10080316,116,0
10080316,337,-1
10073628,178,0
10073628,337,-1
10070505,252,0
10070505,116,-1
10073100,252,0
10073100,105,-1
10082924,32,0
10082924,287,-1
10082925,32,0
10082925,287,-1
10069651,238,0
10069651,513,-1
10102434,106,0
10102434,291,-1
10105451,143,0
10105451,310,-1
10068377,238,0
10068377,119,-1
10070145,252,0
10070145,305,-1
10070838,252,0
10070838,290,-1
10071022,252,0
10071022,287,-1
10071175,252,0
10071175,513,-1
10072619,252,0
10072619,143,-1
10074755,178,0
10074755,287,-1
10080726,116,0
10080726,290,-1
10080727,116,0
10080727,290,-1
10083586,32,0
10083586,513,-1
10093439,289,0
10093439,287,-1
10093860,289,0
10093860,310,-1
10093861,289,0
10093861,310,-1
10093904,289,0
10093904,305,-1
10093905,289,0
10093905,305,-1
10105170,143,0
10105170,105,-1
10105171,143,0
10105171,105,-1
10068287,238,0
10068287,68,-1
10071794,252,0
10071794,287,-1
10074607,158,0
10074607,287,-1
10075266,32,0
10075266,513,-1
10075267,32,0
10075267,513,-1
10075575,32,0
10075575,105,-1
10082043,32,0
10082043,143,-1
10068343,238,0
10068343,310,-1
10071097,252,0
10071097,68,-1
10073995,158,0
10073995,180,-1
10073996,158,0
10073996,180,-1
10073997,158,0
10073997,180,-1
10074409,305,0
10074409,531,-1
10080739,116,0
10080739,287,-1
10080779,116,0
10080779,93,-1
10082690,32,0
10082690,531,-1
10082691,32,0
10082691,531,-1
10083149,32,0
10083149,531,-1
10089069,241,0
10089069,328,-1
10089070,241,0
10089070,328,-1
10102510,337,0
10102510,32,-1
10105105,143,0
10105105,287,-1
10105106,143,0
10105106,287,-1
10105300,143,0
10105300,287,-1
10105301,143,0
10105301,287,-1
10070904,252,0
10070904,531,-1
10072096,252,0
10072096,93,-1
10072097,252,0
10072097,93,-1
10073614,158,0
10073614,287,-1
10101817,106,0
10101817,291,-1
10067622,310,0
10067622,287,-1
10069056,238,0
10069056,143,-1
10069057,238,0
10069057,143,-1
10069058,238,0
10069058,143,-1
10069059,238,0
10069059,143,-1
10069599,238,0
10069599,93,-1
10069600,238,0
10069600,93,-1
10070442,310,0
