UID,location,Duration
10000024,14,0
10000024,7,-1
10000037,20,0
10000037,2,-1
10000038,15,0
10000038,5,-1
10000039,5,0
10000039,18,-1
10000103,22,0
10000103,14,-1
10000227,12,0
10000227,3,-1
10000293,2,0
10000293,22,-1
10000335,13,0
10000335,9,-1
10000589,21,0
10000589,14,-1
10000618,10,0
10000618,9,-1
10000619,15,0
10000619,20,-1
10000659,13,0
10000659,10,-1
10000729,1,0
10000729,4,-1
10000975,4,0
10000975,12,-1
10001473,19,0
10001473,17,-1
10001474,19,0
10001474,3,-1
10001718,2,0
10001718,11,-1
10002093,6,0
10002093,7,-1
10002117,1,0
10002117,9,-1
10002325,17,0
10002325,2,-1
10002326,21,0
10002326,20,-1
10002350,17,0
10002350,4,-1
10002369,8,0
10002369,11,-1
10002394,23,0
10002394,8,-1
10002395,17,0
10002395,15,-1
10002443,6,0
10002443,20,-1
10002548,22,0
10002548,19,-1
10002549,7,0
10002549,10,-1
10002586,13,0
10002586,19,-1
10002587,5,0
10002587,19,-1
10002639,12,0
10002639,19,-1
10002640,9,0
10002640,17,-1
10002970,10,0
10002970,2,-1
10002971,12,0
10002971,2,-1
10003188,11,0
10003188,2,-1
10003303,10,0
10003303,15,-1
10003556,5,0
10003556,19,-1
10003756,11,0
10003756,15,-1
10004017,17,0
10004017,7,-1
10004018,13,0
10004018,10,-1
10004063,8,0
10004063,22,-1
10004088,2,0
10004088,7,-1
10004215,18,0
10004215,21,-1
10004216,20,0
10004216,18,-1
10004225,21,0
10004225,4,-1
10004469,22,0
10004469,12,-1
10004674,2,0
10004674,12,-1
10005170,2,0
10005170,15,-1
10005191,6,0
10005191,9,-1
10005192,21,0
10005192,1,-1
10005465,18,0
10005465,17,-1
10005466,6,0
10005466,17,-1
10005467,2,0
10005467,17,-1
10005468,7,0
10005468,15,-1
10005469,15,0
10005469,2,-1
10005470,11,0
10005470,1,-1
10005471,21,0
10005471,7,-1
10005472,12,0
10005472,17,-1
10005518,8,0
10005518,10,-1
10005591,17,0
10005591,21,-1
10005884,16,0
10005884,13,-1
10006173,19,0
10006173,5,-1
10006174,21,0
10006174,12,-1
10006250,13,0
10006250,3,-1
10006301,9,0
10006301,20,-1
10006302,1,0
10006302,23,-1
10006443,2,0
10006443,19,-1
10006533,7,0
10006533,8,-1
10006599,9,0
10006599,5,-1
10006708,13,0
10006708,6,-1
10006770,18,0
10006770,12,-1
10006821,11,0
10006821,13,-1
10006870,18,0
10006870,12,-1
10006928,3,0
10006928,9,-1
10006951,22,0
10006951,20,-1
10007001,17,0
10007001,3,-1
10007052,22,0
10007052,2,-1
10007106,16,0
10007106,6,-1
10007107,11,0
10007107,13,-1
10007267,11,0
10007267,2,-1
10007409,9,0
10007409,4,-1
10007506,7,0
10007506,14,-1
10008086,19,0
10008086,2,-1
10008090,17,0
10008090,21,-1
10008206,15,0
10008206,7,-1
10008544,15,0
10008544,3,-1
10008826,4,0
10008826,7,-1
10008827,17,0
10008827,3,-1
10009048,21,0
10009048,4,-1
10009051,10,0
10009051,20,-1
10009054,7,0
10009054,18,-1
10009237,7,0
10009237,21,-1
10009421,10,0
10009421,18,-1
10009422,1,0
10009422,17,-1
10009575,15,0
10009575,20,-1
10009576,10,0
10009576,18,-1
10009661,8,0
10009661,23,-1
10009662,10,0
10009662,1,-1
10009834,23,0
10009834,8,-1
10010129,8,0
10010129,14,-1
10010130,9,0
10010130,15,-1
