VID,FID,Duration
1,282,35
1,367,-1
2,282,52
2,79,-1
3,282,30
3,74,-1
4,282,54
4,366,-1
5,282,49
5,69,-1
6,282,32
6,575,-1
7,282,35
7,407,-1
8,282,54
8,143,-1
9,282,49
9,663,-1
10,282,32
10,71,-1
11,282,54
11,76,-1
12,282,50
12,366,-1
13,282,36
13,116,-1
14,282,28
14,161,-1
15,282,53
15,170,-1
16,282,49
16,113,-1
17,282,28
17,27,-1
18,282,55
18,411,-1
19,282,29
19,411,-1
20,282,56
20,159,-1
21,282,42
21,226,-1
22,282,56
22,161,-1
23,282,60
23,28,-1
24,282,30
24,78,-1
25,282,54
25,79,-1
26,282,54
26,139,-1
27,282,50
27,75,-1
28,282,60
28,174,-1
29,282,34
29,161,-1
30,282,32
30,76,-1
31,282,25
31,75,-1
32,282,48
32,76,-1
33,282,53
33,38,-1
34,282,32
34,158,-1
35,282,33
35,146,-1
36,282,31
36,366,-1
37,282,33
37,562,-1
38,282,35
38,172,-1
39,282,54
39,400,-1
40,282,36
40,38,-1
41,282,26
41,69,-1
42,282,54
42,227,-1
43,282,42
43,367,-1
44,282,56
44,557,-1
45,282,55
45,69,-1
46,282,59
46,116,-1
47,282,13
47,140,-1
48,282,38
48,366,-1
49,282,59
49,676,-1
50,282,34
50,78,-1
51,282,51
51,139,-1
52,282,74
52,76,-1
53,282,34
53,115,-1
54,282,32
54,676,-1
55,282,36
55,399,-1
56,282,28
56,327,-1
57,282,53
57,227,-1
58,282,30
58,663,-1
59,282,34
59,577,-1
60,282,29
60,73,-1
61,282,28
61,558,-1
62,282,60
62,663,-1
63,282,50
63,174,-1
64,282,59
64,325,-1
65,282,25
65,559,-1
66,282,53
66,559,-1
67,282,41
67,145,-1
68,282,26
68,575,-1
69,282,35
69,117,-1
70,282,54
70,26,-1
71,282,53
71,74,-1
72,282,17
72,327,-1
73,282,58
73,76,-1
74,282,51
74,571,-1
75,282,30
75,145,-1
76,282,50
76,75,-1
77,282,25
77,172,-1
78,282,50
78,114,-1
79,282,29
79,143,-1
80,282,55
80,400,-1
81,282,2
81,326,-1
82,282,32
82,399,-1
83,282,35
83,559,-1
84,282,29
84,561,-1
85,282,51
85,115,-1
86,282,55
86,575,-1
87,282,39
87,559,-1
88,282,29
88,559,-1
89,282,28
89,675,-1
90,282,29
90,227,-1
91,282,9
91,173,-1
92,282,40
92,224,-1
93,282,60
93,366,-1
94,282,53
94,439,-1
95,282,31
95,367,-1
96,282,60
96,211,-1
97,282,59
97,139,-1
98,282,32
98,676,-1
99,282,55
99,399,-1
100,282,75
100,78,-1
101,282,25
101,225,-1
102,282,56
102,117,-1
103,282,59
103,79,-1
104,282,52
104,579,-1
105,282,25
105,226,-1
106,282,29
106,325,-1
107,282,50
107,141,-1
108,282,60
108,359,-1
109,282,28
109,325,-1
110,282,51
110,70,-1
111,282,40
111,32,-1
112,282,36
112,170,-1
113,282,31
113,139,-1
114,282,56
114,367,-1
115,282,31
115,283,-1
116,282,54
116,325,-1
117,282,32
117,173,-1
118,282,52
118,564,-1
119,282,52
119,159,-1
120,282,28
120,77,-1
121,282,38
121,283,-1
122,282,55
122,70,-1
123,282,50
123,38,-1
124,282,35
124,169,-1
125,282,49
125,283,-1
126,282,52
126,113,-1
127,282,33
127,328,-1
128,282,48
128,115,-1
129,282,56
129,54,-1
130,282,28
130,159,-1
131,282,55
131,73,-1
132,282,56
132,74,-1
133,282,31
133,39,-1
134,282,60
134,169,-1
135,282,33
135,139,-1
136,282,60
136,139,-1
137,282,50
137,172,-1
138,282,50
138,563,-1
139,282,57
139,560,-1
140,282,29
140,579,-1
141,282,73
141,571,-1
142,282,49
142,676,-1
143,282,27
143,140,-1
144,282,58
144,578,-1
145,282,31
145,38,-1
146,282,12
146,576,-1
147,282,39
147,411,-1
148,282,52
148,576,-1
149,282,55
149,160,-1
150,282,59
150,27,-1
151,282,62
151,663,-1
152,282,32
152,676,-1
153,282,37
153,224,-1
154,282,36
154,27,-1
155,282,53
155,399,-1
156,282,49
156,579,-1
157,282,34
157,39,-1
158,282,46
158,557,-1
159,282,44
159,711,-1
160,282,54
160,170,-1
161,282,53
161,563,-1
162,282,36
162,561,-1
163,282,40
163,54,-1
164,282,59
164,579,-1
165,282,34
165,563,-1
166,282,59
166,143,-1
167,282,59
167,572,-1
168,282,28
168,439,-1
169,282,52
169,78,-1
170,282,35
170,72,-1
171,282,58
171,118,-1
172,282,50
172,400,-1
173,282,32
173,73,-1
174,282,32
174,400,-1
175,282,56
175,579,-1
176,282,78
176,170,-1
177,282,34
177,571,-1
178,282,35
178,366,-1
179,282,33
179,173,-1
180,282,56
180,159,-1
181,282,31
181,225,-1
182,282,22
182,676,-1
183,282,4
183,38,-1
184,282,35
184,28,-1
185,282,35
185,79,-1
186,282,58
186,78,-1
187,282,55
187,38,-1
188,282,54
188,70,-1
189,282,52
189,711,-1
190,282,34
190,169,-1
191,282,27
191,324,-1
192,282,49
192,674,-1
193,282,38
193,579,-1
194,282,50
194,328,-1
195,282,42
195,328,-1
196,282,32
196,571,-1
197,282,50
197,169,-1
198,282,65
198,78,-1
199,282,53
199,143,-1
200,282,54
200,572,-1
201,282,52
201,407,-1
202,282,26
202,226,-1
203,282,31
203,140,-1
204,282,51
204,326,-1
205,282,52
205,70,-1
206,282,50
206,32,-1
207,282,32
207,28,-1
208,282,29
208,142,-1
209,282,36
209,139,-1
210,282,56
210,411,-1
211,282,4
211,439,-1
212,282,51
212,54,-1
213,282,56
213,169,-1
214,282,54
214,78,-1
215,282,28
215,211,-1
216,282,74
216,26,-1
217,282,16
217,366,-1
218,282,33
218,39,-1
219,282,32
219,328,-1
220,282,25
220,559,-1
221,282,61
221,171,-1
222,282,52
222,54,-1
223,282,52
223,439,-1
224,282,27
224,674,-1
225,282,35
225,170,-1
226,282,50
226,563,-1
227,282,49
227,78,-1
228,282,59
228,143,-1
229,282,31
229,326,-1
230,282,58
230,327,-1
231,282,35
231,563,-1
232,282,49
232,32,-1
233,282,52
233,366,-1
234,282,28
234,411,-1
235,282,42
235,576,-1
236,282,54
236,38,-1
237,282,49
237,141,-1
238,282,34
238,557,-1
239,282,65
239,326,-1
240,282,49
240,160,-1
241,282,26
241,26,-1
242,282,36
242,579,-1
243,282,32
243,27,-1
244,282,33
244,710,-1
245,282,36
245,27,-1
246,282,57
246,558,-1
247,282,65
247,710,-1
248,282,54
248,367,-1
249,282,41
249,161,-1
250,282,28
250,170,-1
251,282,36
251,74,-1
252,282,74
252,70,-1
253,282,25
253,558,-1
254,282,27
254,28,-1
255,282,54
255,173,-1
256,282,38
256,114,-1
257,282,34
257,439,-1
258,282,52
258,70,-1
259,282,54
259,562,-1
260,282,29
260,159,-1
261,282,35
261,38,-1
262,282,35
262,225,-1
263,282,5
263,366,-1
264,282,36
264,575,-1
265,282,36
265,399,-1
266,282,58
266,71,-1
267,282,34
267,141,-1
268,282,36
268,367,-1
269,282,36
269,159,-1
270,282,53
270,116,-1
271,282,34
271,160,-1
272,282,52
272,27,-1
273,282,49
273,32,-1
274,282,31
274,367,-1
275,282,4
275,227,-1
276,282,26
276,366,-1
277,282,46
277,557,-1
278,282,59
278,227,-1
279,282,42
279,172,-1
280,282,53
280,140,-1
281,282,30
281,142,-1
282,282,62
282,142,-1
283,282,62
283,561,-1
284,282,31
284,577,-1
285,282,41
285,226,-1
286,282,56
286,145,-1
287,282,66
287,27,-1
288,282,27
288,69,-1
289,282,39
289,38,-1
290,282,55
290,116,-1
291,282,58
291,577,-1
292,282,55
292,146,-1
293,282,60
293,116,-1
294,282,32
294,173,-1
295,282,52
295,411,-1
296,282,75
296,579,-1
297,282,31
297,76,-1
298,282,54
298,674,-1
299,282,66
299,577,-1
300,282,54
300,711,-1
301,282,56
301,411,-1
302,282,57
302,571,-1
303,282,49
303,283,-1
304,282,59
304,577,-1
305,282,29
305,71,-1
306,282,52
306,173,-1
307,282,37
307,225,-1
308,282,54
308,571,-1
309,282,51
309,675,-1
310,282,33
310,143,-1
311,282,32
311,173,-1
312,282,35
312,27,-1
313,282,51
313,145,-1
314,282,51
314,113,-1
315,282,56
315,327,-1
316,282,52
316,283,-1
317,282,25
317,324,-1
318,282,29
318,113,-1
319,282,33
319,69,-1
320,282,29
320,578,-1
321,282,58
321,27,-1
322,282,51
322,139,-1
323,282,50
323,27,-1
324,282,48
324,78,-1
325,282,38
325,572,-1
326,282,13
326,158,-1
327,282,32
327,439,-1
328,282,54
328,69,-1
329,282,56
329,79,-1
330,282,42
330,576,-1
331,282,60
331,172,-1
332,282,28
332,139,-1
333,282,53
333,663,-1
334,282,26
334,325,-1
335,282,54
335,563,-1
