FID,GEOID
1,121090204002
2,121099902000
3,120310161001
4,120310161002
5,120310161003
6,120310161004
7,120310163001
8,120310163002
9,120310164001
10,120310164002
11,120310164003
12,120310164004
13,120310164005
14,120310165001
15,120310165002
16,120310165004
17,120310166011
18,120310168031
19,120310168051
20,120310168061
21,120310168062
22,120310028023
23,120310143112
24,120310162002
25,120310143261
26,120310143281
27,120310143282
28,120310115003
29,120310123002
30,120310129002
31,120310141011
32,120310115002
33,120310116001
34,120310116002
35,120310117001
36,120310117002
37,120310142022
38,120310143121
39,120310144012
40,120310144014
41,120310148002
42,120310168063
43,120310001001
44,120310001002
45,120310001003
46,120310001004
47,120310001005
48,120310119013
49,120310119014
50,120310119022
51,120310119023
52,120310119031
53,120310143122
54,120310002001
55,120310002002
56,120310002003
57,120310003001
58,120310120001
59,120310120002
60,120310121001
61,120310121002
62,120310122001
63,120310122002
64,120310122003
65,120310168032
66,120310168041
67,120310135221
68,120310138001
69,120310143291
70,120310143301
71,120310143311
72,120310143312
73,120310143313
74,120310143322
75,120310143323
76,120310143324
77,120310143331
78,120310143332
79,120310105004
80,120310006001
81,120310006002
82,120310006003
83,120310006004
84,120310006005
85,120310122004
86,120310123003
87,120310124001
88,120310124002
89,120310124003
90,120310007002
91,120310008001
92,120310010001
93,120310010002
94,120310012001
95,120310125001
96,120310125003
97,120310125004
98,120310126011
99,120310126021
100,120310174001
101,120310174003
102,120310007003
103,120310021011
104,120310021012
105,120310021021
106,120310022003
107,120310025012
108,120310025014
109,120310025021
110,120310025022
111,120310025023
112,120310143341
113,120310143342
114,120310143351
115,120310143352
116,120310143361
117,120310143362
118,120310013001
119,120310013003
120,120310014001
121,120310014002
122,120310014003
123,120310014005
124,120310014006
125,120310015002
126,120310015004
127,120310126022
128,120310126023
129,120310127022
130,120310028014
131,120310102021
132,120310102022
133,120310103043
134,120310104011
135,120310107003
136,120310107004
137,120310137262
138,120310140011
139,120310143371
140,120310143381
141,120310143382
142,120310143383
143,120310144011
144,120310144042
145,120310144043
146,120310016001
147,120310016002
148,120310128002
149,120310127023
150,120310128003
151,120310128004
152,120310129001
153,120310022001
154,120310022004
155,120310129003
156,120310130001
157,120310142021
158,120310140012
159,120310140013
160,120310143321
161,120310145004
162,120310146013
163,120310149011
164,120310149013
165,120310150021
166,120310151002
167,120310155011
168,120310144082
169,120310144102
170,120310144103
171,120310144091
172,120310144092
173,120310144093
174,120310144131
175,120310144132
176,120070001004
177,120899900000
178,121079501001
179,120310167291
180,120310168042
181,120310168043
182,121090212062
183,121090210042
184,121090214053
185,121090207052
186,120310144121
187,120310146031
188,120310150012
189,120310150014
190,120310155021
191,121090208023
192,121090203002
193,121090214041
194,121090214032
195,121090210022
196,121090207101
197,121090207112
198,121090208071
199,121090208052
200,121090205002
201,121090212061
202,120310155022
203,120310158013
204,120310159253
205,120310167221
