UID,location,Duration
100000001,1,2248
100000001,14,-1
100000002,1,2308
100000002,15,-1
100000003,1,200
100000003,16,-1
100000004,1,4664
100000004,19,-1
100000005,1,3654
100000005,17,-1
100000006,1,1385
100000006,20,-1
100000007,1,2461
100000007,20,-1
100000008,1,2446
100000008,19,-1
100000009,1,5012
100000009,20,-1
100000010,1,4924
100000010,12,-1
100000011,1,3356
100000011,15,-1
100000012,1,1587
100000012,19,-1
100000013,1,5777
100000013,20,-1
100000014,1,5993
100000014,17,-1
100000015,1,2261
100000015,14,-1
100000016,1,1787
100000016,16,-1
100000017,1,4628
100000017,19,-1
100000018,1,5828
100000018,19,-1
100000019,1,841
100000019,20,-1
100000020,1,5772
100000020,19,-1
100000021,1,858
100000021,12,-1
100000022,1,816
100000022,20,-1
100000023,1,3242
100000023,20,-1
100000024,1,3873
100000024,18,-1
100000025,1,4826
100000025,17,-1
100000026,1,351
100000026,19,-1
100000027,1,472
100000027,16,-1
100000028,1,2833
100000028,14,-1
100000029,1,3018
100000029,13,-1
100000030,1,420
100000030,14,-1
100000031,1,3926
100000031,17,-1
100000032,1,97
100000032,17,-1
100000033,1,1783
100000033,18,-1
100000034,1,5240
100000034,20,-1
100000035,1,5047
100000035,18,-1
100000036,1,5937
100000036,19,-1
100000037,1,417
100000037,15,-1
100000038,1,2427
100000038,13,-1
100000039,1,2687
100000039,18,-1
100000040,1,4016
100000040,15,-1
100000041,1,5895
100000041,14,-1
100000042,1,5448
100000042,17,-1
100000043,1,1078
100000043,14,-1
100000044,1,2984
100000044,17,-1
100000045,1,798
100000045,12,-1
100000046,1,3622
100000046,12,-1
100000047,1,1351
100000047,15,-1
100000048,1,1993
100000048,16,-1
100000049,1,2795
100000049,19,-1
100000050,1,1355
100000050,17,-1
100000051,2,2935
100000051,19,-1
100000052,2,3575
100000052,16,-1
100000053,2,2704
100000053,15,-1
100000054,2,3894
100000054,20,-1
100000055,2,76
100000055,19,-1
100000056,2,3438
100000056,17,-1
100000057,2,5401
100000057,13,-1
100000058,2,196
100000058,18,-1
100000059,2,2896
100000059,16,-1
100000060,2,2196
100000060,17,-1
100000061,2,32
100000061,20,-1
100000062,2,1715
100000062,20,-1
100000063,2,1710
100000063,15,-1
100000064,2,1733
100000064,17,-1
100000065,2,1824
100000065,18,-1
100000066,2,1600
100000066,19,-1
100000067,2,3106
100000067,16,-1
100000068,2,5082
100000068,15,-1
100000069,2,4404
100000069,19,-1
100000070,2,2645
100000070,17,-1
100000071,2,5472
100000071,17,-1
100000072,2,4108
100000072,17,-1
100000073,2,3548
100000073,16,-1
100000074,2,5158
100000074,13,-1
100000075,2,1451
100000075,19,-1
100000076,2,4783
100000076,16,-1
100000077,2,1342
100000077,20,-1
100000078,2,5814
100000078,18,-1
100000079,2,1146
100000079,13,-1
100000080,2,3804
100000080,18,-1
100000081,2,1627
100000081,19,-1
