UID,location,Duration
10000024,10,1.5
10000024,3,-1
10000037,3,1.5
10000037,8,-1
10000038,6,1.5
10000038,6,-1
10000039,8,1.5
10000039,9,-1
10000103,3,1.5
10000103,7,-1
10000227,9,1.5
10000227,2,-1
10000293,6,1.5
10000293,1,-1
10000335,9,1.5
10000335,7,-1
10000589,7,1.5
10000589,8,-1
10000618,6,1.5
10000618,2,-1
10000619,6,1.5
10000619,10,-1
10000659,10,1.5
10000659,10,-1
10000729,9,1.5
10000729,10,-1
10000975,1,1.5
10000975,1,-1
10001473,8,1.5
10001473,1,-1
10001474,2,1.5
10001474,1,-1
10001718,3,1.5
10001718,9,-1
10002093,8,1.5
10002093,2,-1
10002117,6,1.5
10002117,9,-1
10002325,2,1.5
10002325,3,-1
10002326,4,1.5
10002326,10,-1
10002350,5,1.5
10002350,1,-1
10002369,10,1.5
10002369,9,-1
10002394,10,1.5
10002394,6,-1
10002395,7,1.5
10002395,9,-1
10002443,4,1.5
10002443,2,-1
10002548,5,1.5
10002548,9,-1
10002549,9,1.5
10002549,3,-1
10002586,10,1.5
10002586,9,-1
10002587,8,1.5
10002587,7,-1
10002639,10,1.5
10002639,9,-1
10002640,9,1.5
10002640,4,-1
10002970,8,1.5
10002970,1,-1
10002971,1,1.5
10002971,5,-1
10003188,5,1.5
10003188,3,-1
10003303,10,1.5
10003303,3,-1
10003556,9,1.5
10003556,7,-1
10003756,9,1.5
10003756,2,-1
10004017,6,1.5
10004017,6,-1
10004018,4,1.5
10004018,6,-1
10004063,3,1.5
10004063,10,-1
10004088,8,1.5
10004088,7,-1
10004215,2,1.5
10004215,2,-1
10004216,1,1.5
10004216,8,-1
10004225,7,1.5
10004225,2,-1
10004469,6,1.5
10004469,2,-1
10004674,1,1.5
10004674,5,-1
10005170,7,1.5
10005170,8,-1
10005191,5,1.5
10005191,2,-1
10005192,8,1.5
10005192,2,-1
10005465,2,1.5
10005465,7,-1
10005466,4,1.5
10005466,10,-1
10005467,1,1.5
10005467,2,-1
10005468,9,1.5
10005468,1,-1
10005469,6,1.5
10005469,6,-1
10005470,2,1.5
10005470,5,-1
10005471,10,1.5
10005471,1,-1
10005472,5,1.5
10005472,6,-1
10005518,4,1.5
10005518,1,-1
10005591,4,1.5
10005591,6,-1
10005884,7,1.5
10005884,8,-1
10006173,5,1.5
10006173,4,-1
10006174,5,1.5
10006174,9,-1
10006250,5,1.5
10006250,7,-1
10006301,8,1.5
10006301,9,-1
10006302,2,1.5
10006302,1,-1
10006443,6,1.5
10006443,9,-1
10006533,5,1.5
10006533,8,-1
10006599,5,1.5
10006599,5,-1
10006708,1,1.5
10006708,2,-1
10006770,3,1.5
10006770,3,-1
10006821,6,1.5
10006821,1,-1
10006870,7,1.5
10006870,1,-1
10006928,4,1.5
10006928,10,-1
10006951,2,1.5
10006951,7,-1
10007001,9,1.5
10007001,3,-1
10007052,7,1.5
10007052,5,-1
10007106,6,1.5
10007106,9,-1
10007107,10,1.5
10007107,6,-1
10007267,5,1.5
10007267,4,-1
10007409,8,1.5
10007409,3,-1
10007506,5,1.5
10007506,8,-1
10008086,4,1.5
10008086,2,-1
10008090,8,1.5
10008090,5,-1
10008206,7,1.5
10008206,9,-1
10008544,6,1.5
10008544,7,-1
10008826,9,1.5
10008826,5,-1
10008827,2,1.5
10008827,7,-1
10009048,3,1.5
10009048,1,-1
10009051,9,1.5
10009051,3,-1
10009054,1,1.5
10009054,6,-1
10009237,10,1.5
10009237,3,-1
10009421,7,1.5
10009421,7,-1
10009422,5,1.5
10009422,6,-1
10009575,4,1.5
10009575,7,-1
10009576,7,1.5
10009576,2,-1
10009661,10,1.5
10009661,4,-1
10009662,5,1.5
10009662,2,-1
10009834,4,1.5
10009834,7,-1
10010129,5,1.5
10010129,6,-1
10010130,5,1.5
10010130,5,-1
10010169,9,1.5
