POST_OFFIC,AREA_SQ_MI,ZIPCODE
Jacksonville,27.449999999999999,"32210"
Jacksonville,9.770000000000000,"32209"
Jacksonville,9.090000000000000,"32217"
Jacksonville,25.260000000000002,"32244"
Jacksonville,12.100000000000000,"32254"
Jacksonville,12.970000000000001,"32216"
Jacksonville,16.800000000000001,"32224"
Jacksonville,19.430000000000000,"32246"
Jacksonville,30.949999999999999,"32225"
Jacksonville,68.390000000000001,"32256"
Saint Augustine,19.149999999999999,"32080"
Ponte Vedra Beach,46.090000000000003,"32082"
Saint Augustine,41.950000000000003,"32084"
Saint Augustine,70.709999999999994,"32086"
Bryceville,89.719999999999999,"32009"
Callahan,158.699999999999989,"32011"
Hilliard,203.379999999999995,"32046"
Jacksonville,66.060000000000002,"32219"
Saint Augustine,70.450000000000003,"32095"
Jacksonville,100.750000000000000,"32218"
Fernandina Beach,82.189999999999998,"32034"
Yulee,126.980000000000004,"32097"
Jacksonville,2.780000000000000,"32227"
Starke,198.810000000000002,"32091"
Keystone Heights,132.210000000000008,"32656"
Lawtey,66.170000000000002,"32058"
Orange Park,17.550000000000001,"32065"
Jacksonville,127.189999999999998,"32234"
Fleming Island,23.030000000000001,"32003"
Green Cove Springs,216.469999999999999,"32043"
Jacksonville,19.270000000000000,"32258"
Saint Johns,65.609999999999999,"32259"
Neptune Beach,2.630000000000000,"32266"
Jacksonville,16.350000000000001,"32207"
Jacksonville,7.420000000000000,"32212"
Jacksonville,0.860000000000000,"32214"
Jacksonville,16.750000000000000,"32257"
Jacksonville,108.189999999999998,"32226"
Jacksonville,11.650000000000000,"32277"
Jacksonville,9.180000000000000,"32211"
Atlantic Beach,11.420000000000000,"32233"
Jacksonville Beach,10.859999999999999,"32250"
Jacksonville,12.980000000000000,"32208"
Glen Saint Mary,137.560000000000002,"32040"
Lake Butler,217.900000000000006,"32054"
Macclenny,76.209999999999994,"32063"
Raiford,40.149999999999999,"32083"
Sanderson,371.110000000000014,"32087"
Elkton,77.480000000000004,"32033"
Saint Augustine,159.879999999999995,"32092"
Middleburg,112.810000000000002,"32068"
Jacksonville,46.590000000000003,"32220"
Jacksonville,45.869999999999997,"32221"
Jacksonville,12.080000000000000,"32222"
Ponte Vedra,29.840000000000000,"32081"
Jacksonville,20.989999999999998,"32223"
Orange Park,22.239999999999998,"32073"
Jacksonville,2.910000000000000,"32202"
Jacksonville,4.520000000000000,"32204"
Jacksonville,7.540000000000000,"32205"
Jacksonville,7.840000000000000,"32206"
