FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,longitute,latitude,DistWater,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,ORIG_FID
0,12,109,020400,2,121090204002,Block Group 2,G5030,S,1839608.000000000000000,791669.000000000000000,+29.8800979,-081.3131057,8118.504739429999972,2631027.908239999786019,169760,614637,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,0
1,12,109,990200,0,121099902000,Block Group 0,G5030,S,0.000000000000000,354636277.000000000000000,+29.9601333,-081.2675457,144844.171902000001865,354600730.487999975681305,174177,623479,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,1
2,12,031,016100,1,120310161001,Block Group 1,G5030,S,1197800.000000000000000,780.000000000000000,+30.2861098,-081.6054576,5161.950369989999672,1198543.629750000080094,141674,659779,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,2
3,12,031,016100,2,120310161002,Block Group 2,G5030,S,1336969.000000000000000,0.000000000000000,+30.2774050,-081.6121022,5639.206076309999844,1336926.563000000081956,141108,658776,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,3
4,12,031,016100,3,120310161003,Block Group 3,G5030,S,1453461.000000000000000,0.000000000000000,+30.2874514,-081.6180037,5651.660220699999627,1453417.602440000046045,140547,659893,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,4
5,12,031,016100,4,120310161004,Block Group 4,G5030,S,1245776.000000000000000,0.000000000000000,+30.2949927,-081.6207351,5254.166477200000372,1245741.648300000000745,140288,660730,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,5
6,12,031,016300,1,120310163001,Block Group 1,G5030,S,809357.000000000000000,62466.000000000000000,+30.2664649,-081.6364501,4582.838543570000184,871800.514338999986649,138863,657438,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,6
7,12,031,016300,2,120310163002,Block Group 2,G5030,S,2846167.000000000000000,3516.000000000000000,+30.2716069,-081.6326543,7650.823238119999587,2849609.825939999893308,139102,658428,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,7
8,12,031,016400,1,120310164001,Block Group 1,G5030,S,800406.000000000000000,0.000000000000000,+30.2846631,-081.6471646,3738.973744869999791,800388.715463000000454,137739,659599,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,8
9,12,031,016400,2,120310164002,Block Group 2,G5030,S,1364293.000000000000000,23448.000000000000000,+30.2737742,-081.6447064,5051.835282750000260,1387706.514149999944493,137965,658162,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,9
10,12,031,016400,3,120310164003,Block Group 3,G5030,S,939598.000000000000000,1754712.000000000000000,+30.2691179,-081.6505334,8123.427118440000413,2694256.798280000220984,136977,657549,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,10
11,12,031,016400,4,120310164004,Block Group 4,G5030,S,737824.000000000000000,5400616.000000000000000,+30.2801483,-081.6640380,10608.223502900000312,6138345.651560000143945,135604,658960,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,11
12,12,031,016400,5,120310164005,Block Group 5,G5030,S,602873.000000000000000,0.000000000000000,+30.2796769,-081.6540274,3579.317963269999836,602860.484852000023238,137076,659050,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,12
13,12,031,016500,1,120310165001,Block Group 1,G5030,S,565873.000000000000000,119068.000000000000000,+30.2593822,-081.6389953,6892.082244490000448,684927.749080999987200,138497,656842,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,13
14,12,031,016500,2,120310165002,Block Group 2,G5030,S,1039468.000000000000000,2106546.000000000000000,+30.2563170,-081.6451838,9912.792787009999302,3145942.047400000039488,137622,656196,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,14
15,12,031,016500,4,120310165004,Block Group 4,G5030,S,1057763.000000000000000,2815959.000000000000000,+30.2475901,-081.6375433,8917.137581479999426,3873629.530079999938607,138390,654853,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,15
16,12,031,016601,1,120310166011,Block Group 1,G5030,S,9140813.000000000000000,212868.000000000000000,+30.2438004,-081.5969518,15692.010353800000303,9353348.532880000770092,142462,654839,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,16
17,12,031,016803,1,120310168031,Block Group 1,G5030,S,558958.000000000000000,284389.000000000000000,+30.1374476,-081.6272334,4376.885015930000009,843322.398151000030339,139628,643322,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,17
18,12,031,016805,1,120310168051,Block Group 1,G5030,S,6714478.000000000000000,94249.000000000000000,+30.1552354,-081.5738755,13191.595751000000746,6808428.293170000426471,145423,645036,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,18
19,12,031,016806,1,120310168061,Block Group 1,G5030,S,1634872.000000000000000,0.000000000000000,+30.1438488,-081.5803043,5271.692145170000003,1634807.276039999909699,144092,643955,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,19
20,12,031,016806,2,120310168062,Block Group 2,G5030,S,3018722.000000000000000,186372.000000000000000,+30.1374776,-081.5694031,8584.598000469999533,3204951.693059999961406,145269,643335,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,20
21,12,031,002802,3,120310028023,Block Group 3,G5030,S,958390.000000000000000,0.000000000000000,+30.3430127,-081.6928249,5261.588657790000070,958379.824995000031777,133386,666094,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,21
22,12,031,014311,2,120310143112,Block Group 2,G5030,S,4067161.000000000000000,35310.000000000000000,+30.3004582,-081.5339825,8646.436695450000116,4102254.298270000144839,148708,661262,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,22
23,12,031,016200,2,120310162002,Block Group 2,G5030,S,1581762.000000000000000,9353.000000000000000,+30.2741315,-081.6203462,5422.138381189999564,1591070.032499999972060,140243,658392,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,23
24,12,031,014326,1,120310143261,Block Group 1,G5030,S,5937723.000000000000000,0.000000000000000,+30.2968606,-081.4741514,10332.693001100000401,5937330.037279999814928,154390,660869,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,24
25,12,031,014328,1,120310143281,Block Group 1,G5030,S,1351388.000000000000000,16813.000000000000000,+30.3542954,-081.5143254,5450.953963969999677,1368122.857510000001639,150572,667303,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,25
26,12,031,014328,2,120310143282,Block Group 2,G5030,S,5721477.000000000000000,8077.000000000000000,+30.3338370,-081.5160341,10917.635017900000094,5729221.719329999759793,150850,665385,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,26
27,12,031,011500,3,120310115003,Block Group 3,G5030,S,738527.000000000000000,0.000000000000000,+30.3690301,-081.6927504,3778.715831380000054,738521.037259000004269,133411,668978,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,27
28,12,031,012300,2,120310123002,Block Group 2,G5030,S,1025651.000000000000000,0.000000000000000,+30.2870896,-081.7254890,4059.325270410000030,1025653.774020000011660,130206,659914,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,28
29,12,031,012900,2,120310129002,Block Group 2,G5030,S,496814.000000000000000,0.000000000000000,+30.2575154,-081.7495749,3158.071827820000181,496819.977170999976806,127867,656650,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,29
30,12,031,014101,1,120310141011,Block Group 1,G5030,S,974960.000000000000000,0.000000000000000,+30.2969244,-081.4038837,5216.467814470000121,974882.407533999998122,161149,660850,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,30
31,12,031,011500,2,120310115002,Block Group 2,G5030,S,1550828.000000000000000,10031.000000000000000,+30.3806420,-081.6905534,7300.483195140000134,1560844.724780000047758,133648,670170,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,31
32,12,031,011600,1,120310116001,Block Group 1,G5030,S,1756232.000000000000000,0.000000000000000,+30.3719697,-081.7048209,5360.749191009999777,1756224.553520000074059,132253,669311,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,32
33,12,031,011600,2,120310116002,Block Group 2,G5030,S,2264929.000000000000000,9843.000000000000000,+30.3672869,-081.7183506,7909.747519540000212,2274768.922609999775887,131005,668820,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,33
34,12,031,011700,1,120310117001,Block Group 1,G5030,S,16684768.000000000000000,414488.000000000000000,+30.3544955,-081.7686444,23524.992894999999407,17099552.662900000810623,125968,667741,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,34
35,12,031,011700,2,120310117002,Block Group 2,G5030,S,1018826.000000000000000,0.000000000000000,+30.3586509,-081.7339386,4575.106739030000426,1018831.357829999993555,129444,667852,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,35
36,12,031,014202,2,120310142022,Block Group 2,G5030,S,599200.000000000000000,245848.000000000000000,+30.2812545,-081.3897644,3956.949999339999977,844977.953523000003770,162470,659146,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,36
37,12,031,014312,1,120310143121,Block Group 1,G5030,S,3177495.000000000000000,54241.000000000000000,+30.2910144,-081.5120863,7244.914595070000360,3231547.209629999939352,150431,660605,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,37
38,12,031,014401,2,120310144012,Block Group 2,G5030,S,1185740.000000000000000,0.000000000000000,+30.2769344,-081.5442574,7101.021460079999997,1185682.979509999975562,147636,658691,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,38
39,12,031,014401,4,120310144014,Block Group 4,G5030,S,4985712.000000000000000,250826.000000000000000,+30.2613433,-081.5458926,12689.345970200000011,5236273.550219999626279,147416,657038,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,39
40,12,031,014800,2,120310148002,Block Group 2,G5030,S,325060.000000000000000,0.000000000000000,+30.3545919,-081.6020822,2694.080965329999799,325048.019411000015680,142118,667327,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,40
41,12,031,016806,3,120310168063,Block Group 3,G5030,S,16803281.000000000000000,419064.000000000000000,+30.1267195,-081.5602172,27742.706080799998745,17221525.345300000160933,146894,641853,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,41
42,12,031,000100,1,120310001001,Block Group 1,G5030,S,909329.000000000000000,856256.000000000000000,+30.3918400,-081.6481563,6661.818782940000347,1765544.875179999973625,137717,671195,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,42
43,12,031,000100,2,120310001002,Block Group 2,G5030,S,2573588.000000000000000,1220114.000000000000000,+30.3757890,-081.6397092,10556.908700699999827,3793611.489269999787211,138599,669788,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,43
44,12,031,000100,3,120310001003,Block Group 3,G5030,S,873349.000000000000000,13666.000000000000000,+30.3831313,-081.6457074,3877.417859130000124,886995.986586999963038,137948,670430,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,44
45,12,031,000100,4,120310001004,Block Group 4,G5030,S,604391.000000000000000,0.000000000000000,+30.3726085,-081.6540362,3446.588947960000041,604378.531444999971427,137135,669352,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,45
46,12,031,000100,5,120310001005,Block Group 5,G5030,S,359638.000000000000000,0.000000000000000,+30.3808156,-081.6541305,2636.918816330000027,359632.408042000024579,137131,670262,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,46
47,12,031,011901,3,120310119013,Block Group 3,G5030,S,2544082.000000000000000,5863.000000000000000,+30.3307087,-081.7772565,6579.323355659999834,2549998.799649999942631,125016,664555,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,47
48,12,031,011901,4,120310119014,Block Group 4,G5030,S,4242571.000000000000000,160868.000000000000000,+30.3227249,-081.8044973,9618.252696370000194,4403567.138460000045598,122758,663894,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,48
49,12,031,011902,2,120310119022,Block Group 2,G5030,S,1929751.000000000000000,2121.000000000000000,+30.2954173,-081.7908352,5628.818614769999840,1931921.866159999975935,123924,660879,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,49
50,12,031,011902,3,120310119023,Block Group 3,G5030,S,6465739.000000000000000,29518.000000000000000,+30.2931430,-081.8244031,13951.830364100000224,6495509.444869999773800,120420,660675,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,50
51,12,031,011903,1,120310119031,Block Group 1,G5030,S,1578488.000000000000000,0.000000000000000,+30.3074163,-081.7889824,5280.628280070000073,1578527.400870000012219,124113,662208,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,51
52,12,031,014312,2,120310143122,Block Group 2,G5030,S,2577531.000000000000000,1397.000000000000000,+30.2915286,-081.4937906,6424.673635529999956,2578768.323780000209808,152201,660639,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,52
53,12,031,000200,1,120310002001,Block Group 1,G5030,S,2029598.000000000000000,1179942.000000000000000,+30.3647282,-081.6282548,9478.520389909999722,3209448.404910000041127,139647,668387,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,53
54,12,031,000200,2,120310002002,Block Group 2,G5030,S,801476.000000000000000,0.000000000000000,+30.3585087,-081.6341762,5334.665073359999951,801455.398684000014327,139035,667778,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,54
55,12,031,000200,3,120310002003,Block Group 3,G5030,S,823625.000000000000000,0.000000000000000,+30.3600817,-081.6443265,4883.242581550000068,823607.441585000022314,138060,667958,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,55
56,12,031,000300,1,120310003001,Block Group 1,G5030,S,778572.000000000000000,0.000000000000000,+30.3475562,-081.6349419,4235.212776549999944,778551.436048000003211,138954,666565,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,56
57,12,031,012000,1,120310120001,Block Group 1,G5030,S,2429897.000000000000000,5554.000000000000000,+30.3088511,-081.7641330,6284.539000939999823,2435483.738690000027418,126740,662355,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,57
58,12,031,012000,2,120310120002,Block Group 2,G5030,S,2862113.000000000000000,0.000000000000000,+30.3049679,-081.7766970,7160.213423559999683,2862170.575040000025183,125293,661928,0, , , , , , , , ,0.000000000000000,0.000000000000000, , ,58
