UID,location,Duration
10000024,1,0
10000024,9,-1
10000037,2,0
10000037,10,-1
10000038,8,0
10000038,1,-1
10000039,7,0
10000039,6,-1
10000103,4,0
10000103,10,-1
10000227,4,0
10000227,9,-1
10000293,8,0
10000293,1,-1
10000335,1,0
10000335,7,-1
10000589,2,0
10000589,4,-1
10000618,4,0
10000618,7,-1
10000619,8,0
10000619,8,-1
10000659,4,0
10000659,3,-1
10000729,9,0
10000729,4,-1
10000975,10,0
10000975,9,-1
10001473,1,0
10001473,10,-1
10001474,7,0
10001474,2,-1
10001718,3,0
10001718,3,-1
10002093,1,0
10002093,4,-1
10002117,2,0
10002117,6,-1
10002325,3,0
10002325,6,-1
10002326,3,0
10002326,8,-1
10002350,9,0
10002350,10,-1
10002369,8,0
10002369,10,-1
10002394,4,0
10002394,5,-1
10002395,7,0
10002395,2,-1
10002443,4,0
10002443,4,-1
10002548,7,0
10002548,2,-1
10002549,8,0
10002549,1,-1
10002586,8,0
10002586,1,-1
10002587,10,0
10002587,9,-1
10002639,9,0
10002639,7,-1
10002640,9,0
10002640,8,-1
10002970,1,0
10002970,7,-1
10002971,2,0
10002971,8,-1
10003188,3,0
10003188,8,-1
10003303,4,0
10003303,1,-1
10003556,5,0
10003556,8,-1
10003756,8,0
10003756,8,-1
10004017,6,0
10004017,6,-1
10004018,6,0
10004018,5,-1
10004063,1,0
10004063,2,-1
10004088,10,0
10004088,2,-1
10004215,9,0
10004215,10,-1
10004216,6,0
10004216,6,-1
10004225,10,0
10004225,4,-1
10004469,9,0
10004469,6,-1
10004674,5,0
10004674,2,-1
10005170,2,0
10005170,10,-1
10005191,10,0
10005191,7,-1
10005192,4,0
10005192,1,-1
10005465,10,0
10005465,8,-1
10005466,10,0
10005466,3,-1
10005467,9,0
10005467,4,-1
10005468,7,0
10005468,7,-1
10005469,10,0
10005469,3,-1
10005470,6,0
10005470,10,-1
10005471,8,0
10005471,4,-1
10005472,10,0
10005472,7,-1
10005518,4,0
10005518,3,-1
10005591,9,0
10005591,3,-1
10005884,8,0
10005884,9,-1
10006173,2,0
10006173,10,-1
10006174,10,0
10006174,1,-1
10006250,10,0
10006250,6,-1
10006301,3,0
10006301,3,-1
10006302,1,0
10006302,7,-1
10006443,6,0
10006443,1,-1
10006533,4,0
10006533,4,-1
10006599,10,0
10006599,1,-1
10006708,10,0
10006708,1,-1
10006770,9,0
10006770,3,-1
10006821,7,0
10006821,9,-1
10006870,2,0
10006870,3,-1
10006928,5,0
10006928,2,-1
10006951,4,0
10006951,7,-1
10007001,7,0
10007001,9,-1
10007052,5,0
10007052,9,-1
10007106,6,0
10007106,6,-1
10007107,4,0
10007107,8,-1
10007267,6,0
10007267,10,-1
10007409,8,0
10007409,8,-1
10007506,8,0
10007506,1,-1
10008086,4,0
10008086,1,-1
10008090,8,0
10008090,7,-1
