startTime,endTime,eventID,roadID,value1,value2
1,3,1,106693,0.1,-999
5,9,1,105339,0.1,-999
20,22,1,105351,0.1,-999
36,89,1,105287,0.1,-999
56,100,1,105380,0.1,-999
203,305,1,105384,0.1,-999
305,401,1,100726,0.1,-999
600,801,1,100438,0.1,-999
708,756,1,103745,0.1,-999
710,799,1,103455,0.1,-999
802,851,1,106041,0.1,-999
850,875,1,105380,0.1,-999
901,952,1,105386,0.1,-999
950,1021,1,105939,0.1,-999
1000,1001,1,108000,0.1,-999
1025,1045,1,105683,0.1,-999
1050,1101,1,105933,0.1,-999
1100,1201,1,106000,0.1,-999
1200,1345,1,105999,0.1,-999
1500,1601,1,105958,0.1,-999
