startTime,endTime,eventID,roadID,value1,value2
43200,82800,1,100960,5,-999
43200,82800,1,104839,5,-999
43200,82800,1,105135,5,-999
43200,82800,1,100961,5,-999
39600,82800,1,100962,5,-999
39600,82800,1,100963,5,-999
39600,82800,1,100982,5,-999
39600,82800,1,104123,5,-999
39600,46800,1,101209,5,-999
75600,82800,1,101209,5,-999
39600,46800,1,104115,5,-999
75600,82800,1,104115,5,-999
75600,82800,1,101210,5,-999
75600,82800,1,104549,5,-999
75600,82800,1,104552,5,-999
75600,82800,1,101212,5,-999
75600,82800,1,104545,5,-999
75600,82800,1,104562,5,-999
39600,82800,1,101334,5,-999
39600,82800,1,101337,5,-999
39600,82800,1,101339,5,-999
39600,82800,1,101340,5,-999
39600,82800,1,101341,5,-999
39600,82800,1,101342,5,-999
39600,82800,1,101347,5,-999
39600,82800,1,101349,5,-999
39600,82800,1,101353,5,-999
39600,82800,1,101355,5,-999
39600,82800,1,101357,5,-999
43200,82800,1,103778,5,-999
39600,82800,1,103779,5,-999
39600,82800,1,104076,5,-999
39600,82800,1,104122,5,-999
39600,82800,1,104125,5,-999
39600,82800,1,104128,5,-999
39600,82800,1,104120,5,-999
39600,82800,1,104123,5,-999
39600,82800,1,104124,5,-999
39600,82800,1,104126,5,-999
39600,82800,1,104127,5,-999
39600,82800,1,104129,5,-999
57600,82800,1,104149,5,-999
57600,82800,1,104565,5,-999
57600,82800,1,104567,5,-999
57600,82800,1,104161,5,-999
75600,82800,1,104162,5,-999
75600,82800,1,104571,5,-999
75600,82800,1,104163,5,-999
75600,82800,1,104165,5,-999
75600,82800,1,104571,5,-999
57600,82800,1,104255,5,-999
57600,82800,1,104260,5,-999
57600,82800,1,104254,5,-999
57600,82800,1,104256,5,-999
57600,82800,1,104269,5,-999
57600,82800,1,104261,5,-999
79200,82800,1,104477,5,-999
79200,82800,1,104478,5,-999
79200,82800,1,104506,5,-999
79200,82800,1,104525,5,-999
79200,82800,1,104481,5,-999
79200,82800,1,104516,5,-999
79200,82800,1,104525,5,-999
79200,82800,1,104506,5,-999
46800,82800,1,104495,5,-999
46800,82800,1,104496,5,-999
82800,82800,1,104517,5,-999
82800,82800,1,104523,5,-999
82800,82800,1,104531,5,-999
79200,82800,1,104520,5,-999
79200,82800,1,104528,5,-999
79200,82800,1,104478,5,-999
79200,82800,1,104526,5,-999
43200,82800,1,104522,5,-999
43200,82800,1,104524,5,-999
43200,82800,1,104527,5,-999
75600,82800,1,104550,5,-999
75600,82800,1,104557,5,-999
75600,82800,1,104558,5,-999
75600,82800,1,104561,5,-999
75600,82800,1,104564,5,-999
75600,82800,1,104566,5,-999
75600,82800,1,104565,5,-999
75600,82800,1,104568,5,-999
75600,82800,1,104569,5,-999
75600,82800,1,104567,5,-999
75600,82800,1,104570,5,-999
75600,82800,1,104572,5,-999
0,82800,1,104578,5,-999
0,82800,1,105236,5,-999
61200,68400,1,104676,5,-999
61200,68400,1,104722,5,-999
61200,68400,1,104731,5,-999
61200,68400,1,104720,5,-999
75600,82800,1,101209,5,-999
75600,82800,1,104550,5,-999
75600,82800,1,104551,5,-999
75600,82800,1,101211,5,-999
75600,82800,1,104561,5,-999
75600,82800,1,104563,5,-999
43200,82800,1,103778,5,-999
39600,82800,1,103779,5,-999
43200,82800,1,103795,5,-999
75600,82800,1,104148,5,-999
75600,82800,1,104164,5,-999
75600,82800,1,104572,5,-999
57600,82800,1,104149,5,-999
57600,82800,1,104161,5,-999
57600,82800,1,104564,5,-999
57600,82800,1,104568,5,-999
46800,82800,1,104480,5,-999
46800,82800,1,104513,5,-999
82800,82800,1,104519,5,-999
82800,82800,1,104528,5,-999
82800,82800,1,104529,5,-999
82800,82800,1,104530,5,-999
75600,82800,1,104560,5,-999
54000,82800,1,104577,5,-999
54000,82800,1,105181,5,-999
54000,82800,1,105236,5,-999
54000,82800,1,105309,5,-999
54000,82800,1,105358,5,-999
54000,82800,1,105359,5,-999
54000,82800,1,105360,5,-999
54000,82800,1,105362,5,-999
