startTime,endTime,eventID,roadID,value1,value2
1,2,1,108360,0.1,-999
1,2,1,101186,0.1,-999
1,2,1,101174,0.1,-999
1,3,1,108297,0.1,-999
1,2,1,101346,0.1,-999
1,2,1,101338,0.1,-999
2,3,1,101342,0.1,-999
2,3,1,101359,0.1,-999
2,3,1,101245,0.1,-999
2,4,1,108418,0.1,-999
2,3,1,100011,0.1,-999
2,4,1,108376,0.1,-999
3,3,1,108239,0.1,-999
3,4,1,102747,0.1,-999
3,4,1,108176,0.1,-999
3,4,1,102765,0.1,-999
3,4,1,102722,0.1,-999
3,4,1,107302,0.1,-999
8,14,1,102902,0.1,-999
13,24,1,100262,0.1,-999
18,34,1,102259,0.1,-999
23,44,1,102533,0.1,-999
28,54,1,104841,0.1,-999
33,64,1,104723,0.1,-999
38,74,1,104953,0.1,-999
43,84,1,106659,0.1,-999
48,94,1,104582,0.1,-999
53,104,1,105263,0.1,-999
58,114,1,105263,0.1,-999
63,124,1,105264,0.1,-999
68,134,1,105260,0.1,-999
73,144,1,106562,0.1,-999
78,154,1,106805,0.1,-999
83,164,1,105331,0.1,-999
88,174,1,105269,0.1,-999
93,184,1,106532,0.1,-999
98,194,1,106801,0.1,-999
103,204,1,107956,0.1,-999
108,214,1,105284,0.1,-999
113,224,1,107504,0.1,-999
118,234,1,107480,0.1,-999
123,244,1,105335,0.1,-999
128,254,1,105289,0.1,-999
133,264,1,105290,0.1,-999
138,274,1,105291,0.1,-999
143,284,1,107017,0.1,-999
148,294,1,105287,0.1,-999
153,304,1,104570,0.1,-999
158,314,1,104566,0.1,-999
163,324,1,106943,0.1,-999
168,334,1,106058,0.1,-999
173,344,1,107217,0.1,-999
178,354,1,106073,0.1,-999
183,364,1,106046,0.1,-999
188,374,1,106078,0.1,-999
193,384,1,107220,0.1,-999
198,394,1,106095,0.1,-999
203,404,1,105383,0.1,-999
208,414,1,105384,0.1,-999
213,424,1,107073,0.1,-999
218,434,1,107854,0.1,-999
223,444,1,106101,0.1,-999
228,454,1,106097,0.1,-999
233,464,1,106130,0.1,-999
238,474,1,104543,0.1,-999
243,484,1,106120,0.1,-999
248,494,1,107773,0.1,-999
253,504,1,107797,0.1,-999
258,514,1,104550,0.1,-999
263,524,1,106226,0.1,-999
268,534,1,106263,0.1,-999
273,544,1,100265,0.1,-999
278,554,1,100335,0.1,-999
283,564,1,100398,0.1,-999
288,574,1,100414,0.1,-999
293,584,1,102091,0.1,-999
298,594,1,105429,0.1,-999
303,604,1,105405,0.1,-999
308,614,1,100402,0.1,-999
313,624,1,100111,0.1,-999
318,634,1,100641,0.1,-999
323,644,1,100605,0.1,-999
328,654,1,100019,0.1,-999
333,664,1,101671,0.1,-999
338,674,1,101631,0.1,-999
343,684,1,101306,0.1,-999
348,694,1,101403,0.1,-999
353,704,1,100897,0.1,-999
358,714,1,101622,0.1,-999
363,724,1,101631,0.1,-999
368,734,1,101494,0.1,-999
373,744,1,101741,0.1,-999
