GEOID,DEST
121090204002,0
121099902000,0
120310161001,2
120310161002,2
120310161003,2
120310161004,2
120310163001,2
120310163002,2
120310164001,2
120310164002,2
120310164003,2
120310164004,2
120310164005,2
120310165001,2
120310165002,2
120310165004,2
120310166011,2
120310168031,2
120310168051,2
120310168061,2
120310168062,2
120310028023,2
120310143112,2
120310162002,2
120310143261,1
120310143281,1
120310143282,1
120310115003,2
120310123002,2
120310129002,2
120310141011,1
120310115002,2
120310116001,2
120310116002,2
120310117001,2
120310117002,2
120310142022,1
120310143121,1
120310144012,2
120310144014,2
120310148002,2
120310168063,2
120310001001,2
120310001002,2
120310001003,2
120310001004,2
120310001005,2
120310119013,2
120310119014,2
120310119022,2
120310119023,2
120310119031,2
120310143122,1
120310002001,2
120310002002,2
120310002003,2
120310003001,2
120310120001,2
120310120002,2
120310121001,2
120310121002,2
120310122001,2
120310122002,2
120310122003,2
120310168032,2
120310168041,2
120310135221,2
120310138001,1
120310143291,1
120310143301,1
120310143311,1
120310143312,1
120310143313,1
120310143322,1
120310143323,1
120310143324,1
120310143331,1
120310143332,1
120310105004,2
120310006001,2
120310006002,2
120310006003,2
120310006004,2
120310006005,2
120310122004,2
120310123003,2
120310124001,2
120310124002,2
120310124003,2
120310007002,2
120310008001,2
120310010001,2
120310010002,2
120310012001,2
120310125001,2
120310125003,2
120310125004,2
120310126011,2
120310126021,2
120310174001,2
120310174003,2
120310007003,2
120310021011,2
120310021012,2
120310021021,2
120310022003,2
120310025012,2
120310025014,2
120310025021,2
120310025022,2
120310025023,2
120310143341,1
120310143342,1
120310143351,1
120310143352,1
120310143361,1
120310143362,1
120310013001,2
120310013003,2
120310014001,2
120310014002,2
120310014003,2
120310014005,2
120310014006,2
120310015002,2
120310015004,2
120310126022,2
120310126023,2
120310127022,2
120310028014,2
120310102021,2
120310102022,2
120310103043,2
120310104011,2
120310107003,2
120310107004,2
120310137262,2
120310140011,1
120310143371,1
120310143381,1
120310143382,1
120310143383,1
120310144011,2
120310144042,1
120310144043,1
120310016001,2
120310016002,2
120310128002,2
120310127023,2
120310128003,2
120310128004,2
120310129001,2
120310022001,2
120310022004,2
120310129003,2
120310130001,2
120310142021,1
120310140012,1
120310140013,1
